Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Turkiye,Middle East,2015,11.1,13.0,105.8240,1.32,97,65,27.8,97,97,0.08,11006,78.53,4.9,4.8,7.8,0,1,76.5
Spain,European Union,2015,2.7,3.3,57.9025,10.35,97,94,26.0,97,97,0.09,25742,46.44,0.6,0.5,9.7,1,0,82.8
India,Asia,2007,51.5,67.9,201.0765,1.57,60,35,21.2,67,64,0.13,1076,1183.21,27.1,28,5,0,1,65.4
Guyana,South America,2006,32.8,40.5,222.1965,5.68,93,74,25.3,92,93,0.79,4146,0.75,5.7,5.5,7.9,0,1,67
Israel,Middle East,2012,3.4,4.3,57.9510,2.89,97,89,27.0,94,94,0.08,33995,7.91,1.2,1.1,12.8,1,0,81.7
Costa Rica,Central America and Caribbean,2006,9.8,11.2,95.2200,4.19,88,86,26.4,89,89,0.16,9110,4.35,2,1.9,7.9,0,1,78.2
Russian Federation,Rest of Europe,2015,6.6,8.2,223.0000,8.06,97,97,26.2,97,97,0.08,9313,144.10,2.3,2.3,12,0,1,71.2
Hungary,European Union,2000,8.7,10.1,192.9690,12.23,88,99,25.9,99,99,0.08,8971,10.21,2.3,2.3,10.2,1,0,71.2
Jordan,Middle East,2001,22.0,26.1,129.7640,0.52,97,87,27.9,97,99,0.13,3708,5.22,4,3.9,9.6,0,1,71.9
Moldova,Rest of Europe,2008,15.3,17.8,217.8570,7.72,97,92,26.5,96,90,0.43,2235,2.87,2.9,3.1,10.9,0,1,68.7
Brazil,South America,2012,15.4,17.2,150.2245,7.12,96,70,26.1,96,95,0.24,9057,199.29,2.8,2.8,7.3,0,1,74.2
Malta,European Union,2007,6.0,6.8,58.0185,7.47,82,77,27.1,76,74,0.08,19338,0.41,0.7,0.7,9.9,1,0,79.8
"Bahamas, The",Central America and Caribbean,2011,13.0,15.2,165.5380,9.23,95,83,27.6,97,98,0.46,32027,0.36,2.5,2.5,11,0,1,72.3
Ukraine,Rest of Europe,2002,14.3,16.6,261.6095,7.13,48,98,25.8,99,99,0.55,1660,48.20,2.9,3,10.5,0,1,68.3
Switzerland,Rest of Europe,2006,4.2,4.9,63.2435,10.24,88,71,25.0,94,94,0.08,79368,7.48,0.6,0.4,12.3,1,0,81.5
Norway,Rest of Europe,2001,3.8,4.7,80.4955,5.49,88,90,25.7,91,91,0.03,68489,4.51,0.8,0.7,12.1,1,0,78.8
Finland,European Union,2013,2.2,2.7,76.5670,9.08,88,92,26.0,98,98,0.08,43045,5.44,0.9,0.8,12.3,1,0,81
Comoros,Africa,2007,66.8,91.9,255.8815,0.15,75,64,23.5,75,75,0.02,1166,0.64,7.3,7.2,3.5,0,1,60.7
Japan,Asia,2005,2.8,3.7,68.7680,7.98,83,84,22.6,95,98,0.17,33099,127.77,1.7,1.5,11.2,1,0,81.9
Gabon,Africa,2012,39.1,57.1,256.8800,7.47,82,64,24.9,80,82,1.57,7181,1.75,6.3,6.2,7.8,0,1,62.9
Ghana,Africa,2011,45.2,65.9,257.0865,1.67,91,58,23.7,91,91,0.93,1580,25.39,6.9,6.8,6.8,0,1,61.4
Philippines,Asia,2001,28.2,36.9,214.2685,4.53,45,19,22.3,76,79,0.01,1847,79.67,1,9.7,7.7,0,1,68.8
"Congo, Rep.",Africa,2003,64.6,100.2,406.7020,0.90,71,64,22.3,50,50,2.23,2072,3.41,9.1,8.8,5.7,0,1,53.8
Madagascar,Africa,2011,45.8,67.0,237.6755,0.89,73,64,21.1,73,73,0.15,464,21.74,7.5,7.4,6.1,0,1,63.8
Estonia,European Union,2004,6.2,7.8,194.0975,15.52,90,97,25.8,95,94,0.08,13283,1.36,2.2,2.3,12,1,0,71.9
Belize,Central America and Caribbean,2013,14.6,16.9,179.1440,6.60,95,92,28.7,95,95,0.39,4667,0.35,3.4,3.4,10.5,0,1,73.5
Kazakhstan,Asia,2006,25.6,29.0,270.9885,6.76,99,99,25.8,99,99,0.08,7838,15.31,2.4,2.5,11.7,0,1,66.2
Cameroon,Africa,2015,57.0,88.0,340.1265,4.55,84,64,24.3,77,84,1.12,1383,23.30,5.6,5.5,6.1,0,1,57.6
Jordan,Middle East,2006,19.2,22.5,121.0110,0.55,98,88,28.3,98,98,0.13,4516,5.99,3.9,3.8,9.8,0,1,72.8
Zimbabwe,Africa,2009,54.0,91.3,551.9115,2.77,73,64,23.6,69,73,7.31,941,12.53,7.5,7.4,7.2,0,1,48.4
Bhutan,Asia,2005,44.7,57.5,253.2655,0.73,95,76,22.8,95,95,0.19,1489,0.65,17.8,18.6,2.3,0,1,65.3
Switzerland,Rest of Europe,2010,3.9,4.6,56.9105,10.01,88,83,25.1,96,95,0.06,82027,7.82,0.5,0.4,13.3,1,0,82.2
South Africa,Africa,2006,48.7,79.2,515.7180,7.30,83,53,26.6,79,82,11.13,5827,48.49,1.6,12.8,9,0,1,53.8
Jordan,Middle East,2012,16.2,19.0,113.2855,0.36,98,96,28.7,98,98,0.13,4387,8.09,3.9,3.9,9.9,0,1,73.7
Eritrea,Africa,2012,36.8,51.2,274.0290,1.03,94,88,20.6,94,94,0.18,699,3.28,8.7,8.6,3.9,0,1,63.2
Germany,European Union,2010,3.5,4.2,77.6040,11.58,88,93,26.3,94,95,0.03,37761,81.78,1.1,1.1,13.8,1,0,80
Saudi Arabia,Middle East,2014,8.3,9.6,89.1200,0.00,98,98,28.3,98,98,0.13,20328,30.92,7.7,7.5,9.5,0,1,74.5
Kiribati,Oceania,2004,49.4,64.6,214.7745,0.49,67,34,29.1,61,62,0.17,1488,0.09,0.2,0.2,7.2,0,1,64.2
Seychelles,Africa,2011,12.2,14.2,154.4505,7.83,99,99,26.3,99,99,3.50,13664,0.09,5.7,6.1,8.4,0,1,72.7
Madagascar,Africa,2012,44.6,64.8,232.4460,0.85,68,64,21.1,71,70,0.18,465,22.35,7.4,7.3,6.1,0,1,64.3
Singapore,Asia,2014,2.2,2.7,52.3930,1.84,96,90,23.6,96,96,0.08,54683,5.47,2.2,2.2,11.4,0,1,82.5
Togo,Africa,2008,61.4,94.4,318.7475,1.44,82,64,22.9,80,81,1.45,456,6.08,7.7,7.6,4.3,0,1,56.2
Denmark,European Union,2009,3.6,4.2,85.8135,10.08,88,85,25.3,89,89,0.04,50457,5.52,1.1,0.9,12.7,1,0,78.6
"Gambia, The",Africa,2015,39.7,59.8,261.7065,2.69,97,64,23.9,96,97,0.96,661,2.09,7.3,7.2,3.4,0,1,60.9
Costa Rica,Central America and Caribbean,2014,7.9,9.3,87.2370,3.12,91,90,27.2,91,91,0.19,11355,4.80,1.7,1.7,8.6,0,1,79.4
Belize,Central America and Caribbean,2010,16.2,18.9,181.5840,6.47,96,91,28.4,96,96,0.37,4768,0.32,3.5,3.4,10.5,0,1,72.1
Sweden,European Union,2010,2.5,3.1,57.4920,7.38,61,94,25.8,98,98,0.08,48370,9.38,1.3,1.3,12.3,1,0,81.5
Austria,European Union,2014,3.1,3.8,65.8150,12.40,98,87,25.5,98,98,0.08,44245,8.55,1.8,2,12.1,1,0,81.5
Kyrgyz Republic,Asia,2012,23.2,26.1,183.8625,5.98,96,65,26.1,94,96,0.14,994,5.61,3.2,3.3,10.7,0,1,70
Grenada,Central America and Caribbean,2013,13.8,15.8,143.8315,7.81,97,85,26.7,98,97,0.40,8067,0.11,3.8,3.8,8.5,0,1,72.6
Brunei Darussalam,Asia,2010,7.9,9.7,91.9455,0.25,96,93,26.4,99,95,0.10,33437,0.39,5.9,5.4,8.8,0,1,74.7
Greece,European Union,2009,3.4,3.9,75.9480,8.32,95,77,27.0,99,99,0.09,22839,11.11,0.8,0.7,10.1,1,0,80.2
Norway,Rest of Europe,2010,2.7,3.3,64.8620,6.59,88,97,26.4,93,93,0.04,72427,4.89,0.7,0.7,12.7,1,0,81
Uruguay,South America,2006,11.7,13.5,116.7620,6.45,95,93,26.3,95,95,0.20,10575,3.33,1.6,1.6,8,0,1,76
Croatia,European Union,2006,5.5,6.4,109.2980,10.98,96,98,26.2,96,96,0.02,11960,4.31,1.8,1.8,9.9,1,0,75.8
Romania,European Union,2008,11.9,14.0,151.8615,12.38,97,95,25.8,95,96,0.04,8280,20.54,3.1,3.5,10.6,1,0,72.6
Central African Republic,Africa,2011,96.7,140.5,463.6130,1.97,47,64,22.5,47,47,1.78,550,4.42,8.8,8.8,3.7,0,1,48
Algeria,Africa,2015,21.6,25.2,95.8155,0.55,95,99,25.5,95,95,0.05,4178,39.73,6,5.8,7.9,0,1,76.1
"Yemen, Rep.",Middle East,2011,45.3,58.5,231.9445,0.04,69,95,23.4,69,69,0.03,2311,23.81,13.7,13.6,2.8,0,1,65.8
Armenia,Rest of Europe,2009,17.2,19.2,139.3615,3.97,93,96,26.0,94,93,0.08,2884,2.89,2,2.1,11.1,0,1,73.1
Zimbabwe,Africa,2004,51.2,92.4,686.6390,2.48,68,64,23.4,67,65,9.75,1212,12.02,9.4,9.4,6.8,0,1,43.1
St. Vincent and the Grenadines,Central America and Caribbean,2003,19.0,21.7,179.1870,5.47,99,83,25.8,99,99,0.40,6075,0.11,3.8,3.8,7.8,0,1,71.1
Kenya,Africa,2007,43.7,68.0,345.5865,1.20,81,28,22.6,76,81,2.73,1287,38.71,8.4,8.3,6,0,1,57.5
"Micronesia, Fed. Sts.",Oceania,2003,29.0,35.2,180.9535,3.16,89,65,28.9,88,92,0.17,3035,0.11,0.2,0.2,5.5,0,1,65.1
Antigua and Barbuda,Central America and Caribbean,2004,11.0,13.5,148.5575,6.72,97,64,25.5,97,97,0.10,14400,0.08,3.5,3.4,9.1,0,1,74.8
Nepal,Asia,2007,41.9,53.4,191.5375,0.20,82,65,21.4,82,82,0.17,643,26.38,17.2,17.8,3,0,1,66.3
Lithuania,European Union,2005,7.3,9.0,222.0690,12.42,95,95,26.2,93,94,0.06,9766,3.32,3,3.1,11.8,1,0,71.3
Vanuatu,Oceania,2003,23.5,28.1,168.7145,0.88,64,65,25.6,67,69,0.17,2519,0.20,1.6,1.6,6.5,0,1,68
Afghanistan,Asia,2000,90.5,129.2,310.8305,0.02,62,12,21.7,24,24,0.02,148,20.78,2.3,2.5,2.2,0,1,55.8
Kuwait,Middle East,2011,8.5,10.0,64.9690,0.00,99,99,29.1,99,99,0.13,33167,3.17,3.3,3.2,7,0,1,74.6
Kenya,Africa,2011,38.5,55.5,260.3750,1.47,96,28,22.9,97,96,1.80,1357,43.18,8.1,7.9,6.2,0,1,61.9
Germany,European Union,2004,4.0,4.9,86.3185,11.83,88,89,26.0,96,96,0.08,35034,82.52,1.1,1.1,12.9,1,0,78.7
Argentina,South America,2014,10.8,12.1,118.5375,7.93,94,96,27.5,92,94,0.13,13568,42.67,1,0.9,9.8,0,1,75.9
Panama,Central America and Caribbean,2008,18.0,21.1,124.0160,6.00,86,79,26.3,86,86,0.40,9894,3.52,2,2,9.2,0,1,76.4
Oman,Middle East,2015,9.6,11.2,89.1875,0.45,99,98,26.3,99,99,0.05,18445,4.27,7.1,6.9,9.5,0,1,76.9
France,European Union,2014,3.1,4.1,74.8905,12.07,83,77,25.0,98,98,0.10,36379,66.31,0.6,0.6,11.4,1,0,82.7
Bosnia and Herzegovina,Rest of Europe,2011,6.0,6.9,101.6670,4.71,88,88,25.4,89,88,0.08,4185,3.66,2.6,2.5,7.2,0,1,76.2
Mauritania,Africa,2002,68.6,111.5,227.5000,0.01,61,64,23.9,91,89,0.45,1234,2.78,1.5,1.3,3.1,0,1,60.9
Somalia,Africa,2008,101.1,166.5,331.4010,0.00,42,64,22.7,40,31,0.13,265,11.40,7.2,7,2.1,0,1,53.3
Azerbaijan,Asia,2011,30.5,34.9,134.0060,0.60,84,92,26.5,91,87,0.08,5153,9.17,2.8,2.9,10.7,0,1,71.2
Maldives,Asia,2007,15.1,17.6,79.1010,1.51,98,56,24.1,98,98,0.17,8535,0.34,14.3,14.4,3.9,0,1,74.6
Armenia,Rest of Europe,2012,14.7,16.4,129.8370,3.89,95,97,26.1,96,95,0.08,3313,2.88,2,2.1,11.3,0,1,73.8
Ghana,Africa,2009,48.8,72.3,261.2595,1.26,94,55,23.5,94,94,1.06,1348,24.17,7.3,7.2,6.7,0,1,60.6
Somalia,Africa,2006,104.0,172.0,337.3370,0.00,42,64,22.5,26,26,0.13,237,10.76,7.4,7.2,2.1,0,1,52.7
Switzerland,Rest of Europe,2014,3.8,4.3,49.9980,9.62,88,87,25.1,96,96,0.05,84348,8.19,0.4,0.3,13.4,1,0,83.2
Argentina,South America,2005,14.8,16.5,131.4750,7.60,88,88,26.6,95,98,0.15,11192,38.89,1.1,1,9.1,0,1,74.5
Guinea-Bissau,Africa,2010,72.6,114.5,287.6200,3.06,83,64,23.0,82,83,2.41,586,1.52,8,7.9,2.6,0,1,54.6
Solomon Islands,Oceania,2000,25.6,30.7,228.1690,0.71,81,65,24.9,88,86,0.17,1939,0.41,1.4,1.4,4.6,0,1,67.4
"Congo, Dem. Rep.",Africa,2000,106.5,159.3,344.2520,2.05,69,64,20.7,42,40,1.07,351,47.11,12.4,12.3,3.3,0,1,50
Namibia,Africa,2010,36.8,49.1,412.4735,1.40,83,64,23.8,83,83,5.85,4147,2.12,1.4,1.4,6.2,0,1,56.7
Russian Federation,Rest of Europe,2004,12.0,14.9,317.9670,11.50,96,97,25.9,98,97,0.08,6857,144.07,2.5,2.8,11.4,0,1,65.5
Japan,Asia,2003,2.9,4.0,70.3060,7.82,83,86,22.5,97,97,0.17,31830,127.72,1.7,1.4,11,1,0,81.8
Mauritania,Africa,2004,67.8,109.7,223.7000,0.01,61,64,24.1,68,70,0.40,1307,2.94,1,9.8,3.3,0,1,61.2
Eswatini,Africa,2007,59.3,103.8,579.8010,6.34,92,99,26.1,88,87,18.67,3175,1.04,6.5,6.7,5.3,0,1,43.3
Nigeria,Africa,2011,83.0,133.1,372.3830,4.99,46,64,23.0,48,48,0.73,2464,162.81,11,1.9,5.5,0,1,51.3
United Arab Emirates,Middle East,2002,9.1,10.6,92.4320,1.60,92,92,27.3,94,94,0.13,56815,3.48,5.3,5,8.6,0,1,74.8
Burundi,Africa,2005,78.4,124.9,346.6695,6.07,87,57,21.0,82,87,0.83,296,7.36,8.2,8.3,2.3,0,1,53.4
Tajikistan,Asia,2006,44.1,51.9,155.0620,0.56,88,96,24.7,76,83,0.07,662,6.92,3.8,3.9,10.5,0,1,66.8
Honduras,Central America and Caribbean,2000,30.3,37.0,171.7060,2.47,93,83,24.8,88,94,0.53,1790,6.57,2.8,2.7,4.3,0,1,70.7
Colombia,South America,2008,16.7,19.5,151.1495,4.35,92,70,25.5,92,92,0.19,4992,44.25,2.3,2,7.3,0,1,75
"Gambia, The",Africa,2009,47.1,76.8,277.4475,3.05,97,64,23.3,97,98,1.29,733,1.74,8.4,8.3,2.7,0,1,59.3
Madagascar,Africa,2015,41.3,59.0,218.4575,0.86,69,64,21.3,68,69,0.24,467,24.23,7.1,7.1,6.1,0,1,65.5
Iceland,Rest of Europe,2003,2.8,3.5,58.7870,6.52,88,92,25.7,97,97,0.03,43764,0.29,1,0.9,9.8,1,0,81
Morocco,Africa,2002,40.6,48.0,140.5375,0.46,92,92,24.8,94,94,0.06,1905,29.45,6.6,6.5,3.6,0,1,69.8
Pakistan,Asia,2011,68.6,85.0,166.2040,0.04,74,38,23.5,63,74,0.13,1246,183.34,2,2.4,4.8,0,1,65.6
